linea,tension,se_inicial,se_final,volt_nom,conductor,i_nominal,empresa,longpropia,anotacion,depto,cod_dep,objectid_1
SOCHAGOTA - GUATIGUARA 2 230 kV,230 kV,NBUC,NPAI,230, ,661,ISA,158.16 Km, ,BOYACA,15,105
COMUNEROS - GUATIGUARA 1,220 kV,BARI,NBUC,220, ,846, , , ,SANTANDER,68,106
LA SIERRA - PRIMAVERA 1 230 kV,230 kV,PVRA,LSIE,230, ,868,ISA,60.16 Km, ,ANTIOQUIA,5,107
MALENA - PRIMAVERA 1,220 kV,MALE,PVRA,220, ,712, , , ,ANTIOQUIA,5,108
PLAYAS - PRIMAVERA 1 230 kV,230 kV,PLAY,PVRA,230, ,695,ISA,104 Km, ,ANTIOQUIA,5,109
PRIMAVERA - TERMOCENTRO 1,220 kV,PVRA,TCNT,220, ,868, , , ,SANTANDER,68,110
BANADIA - CANO LIMON 1 230 kV,230 kV,BAN,CLM,230, ,680,ISA,86.5 Km, ,ARAUCA,81,111
BANADIA - SAMORE 1 230 kV,230 kV,BAN,SMO,230, ,680,ISA,51.15 Km, ,BOYACA,15,112
SOCHAGOTA - PAIPA 2 230 kV,230 kV,PAIP,NPAI,230, ,710,ISA,5.25 Km, ,BOYACA,15,113
SOCHAGOTA - PAIPA 1 230 kV,230 kV,PAIP,NPAI,230, ,710,ISA,5.25 Km, ,BOYACA,15,114
GUAVIO - TORCA 2 230 kV,230 kV,GUV,TORC,230, ,960,ISA,84 Km, ,CUNDINAMARCA,11,115
GUAVIO - CHIVOR 2 230 kV,230 kV,CHIV,GUV,230,FINCH,960,ISA,22 Km, ,BOYACA,15,116
CIRCO - GUAVIO 2,220 kV,CIRC,GUV,220,ACSR RAIL,790,EEB, , ,CUNDINAMARCA,11,117
MIEL - PURNIO 1,220 kV,MIEL,PURN,220, ,988, , , ,CALDAS,17,118
MIEL - PURNIO 2,220 kV,MIEL,PURN,220, ,988, , , ,CALDAS,17,119
LA SIERRA (ANTIOQUIA) - PURNIO 1 230 kV,230 kV,PURN,LSIE,230, ,984,ISA,99.96 Km, ,ANTIOQUIA,5,120
PRIMAVERA - TERMOCENTRO 2,220 kV,PVRA,TCNT,220, ,868, , , ,SANTANDER,68,121
BARBOSA -  PORCE II,220 kV,BARB,PORCE II,220, ,810, , , ,ANTIOQUIA,5,122
BARBOSA - EL SALTO,220 kV,BARB,SLTO,220, ,810, , , ,ANTIOQUIA,5,123
ANCON SUR (ISA) - ESMERALDA 2 230 kV,230 kV,ANCI,ESMR,230, ,938,ISA,129.49 Km, ,ANTIOQUIA,5,124
ANCON SUR - ANCON SUR ISA 1,220 kV,ANCE,ANCI,220, ,810, , , ,ANTIOQUIA,5,125
ANCON SUR - ANCON SUR ISA 2,220 kV,ANCE,ANCI,220, ,810, , , ,ANTIOQUIA,5,126
SAN MATEO (CUCUTA) - OCANIA 1 230 kV,230 kV,SMT,OCA,230, ,775,ISA,120.23 Km, ,NORTE DE SANTANDER,54,127
BELEN (CUCUTA) - SAN MATEO (CUCUTA) 1 230 kV,230 kV,BELE,SMT,230, ,860,DISTASA,8.53 Km, ,NORTE DE SANTANDER,54,128
URABA - URRÁ 1,220 kV,URABA,URRA,220, ,810, , , ,ANTIOQUIA,5,129
IBAGUE (MIROLINDO) - LA MESA 2,220 kV,IBAG,MESA,220, ,810, , , ,CUNDINAMARCA,25,130
PURNIO - NOROESTE 1 230 kV,230 kV,NOR,PURN,230,AAAC 1200,950,ISA,101.551 Km, ,CUNDINAMARCA,11,131
ANCON SUR (ISA) - ESMERALDA (ISA) 1 230 kV,230 kV,ANCI,ESMR,230, ,938,ISA,129.49 Km, ,ANTIOQUIA,5,132
TEBSA - SABANALARGA 1 220 kV,220 kV,SAB,TBSA,220,AAAC 927.2,630,TRANSELCA,38.423 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,133
ANCON SUR (EPM) - OCCIDENTE 1 220 kV,220 kV,ANCE,OCCI,220,ACSR 1351DP,805,EEPPM,28.3 Km, ,ANTIOQUIA,5,134
ALTO ANCHICAYA - YUMBO 1 230 kV,230 kV,ALAN,YUMB,230,ACSR 1033,842,EPSA,54.2 Km,Longitud confirmada en 22/10/02. Carta EPSA VO-DPAR-010/2002,VALLE DEL CAUCA,76,135
JUANCHITO (220 KV) - SALVAJINA 1 230 kV,230 kV,JUTO,SLVJ,230,AASC 1200,842,EPSA,63.1 Km, ,CAUCA,19,136
BARBOSA (ANTIOQUIA) - MIRAFLORES 1 220 kV,220 kV,BARB,MIRF,220,ACSR 1113BJ,777,EEPPM,54 Km, ,ANTIOQUIA,5,137
GUATAPE - ORIENTE 1 220 kV,220 kV,GTPE,ORIE,220,ACSR 1113F,777,EEPPM,37.43 Km, ,ANTIOQUIA,5,138
CUESTECITAS - GUAJIRA 2,220 kV,CUES,TGJA,220, ,810, , , ,GUAJIRA,44,139
